First_pokemon,Second_pokemon,Winner
689,693,689
616,339,339
230,630,230
355,186,186
714,700,700
573,635,573
452,546,452
391,4,391
313,403,313
641,91,641
332,694,694
530,130,530
265,173,265
480,46,480
503,186,186
580,359,359
152,470,470
117,321,117
587,406,587
160,268,160
589,288,589
680,686,686
146,373,373
675,476,675
58,141,141
702,644,702
5,380,380
521,373,373
84,304,304
246,280,246
314,143,143
75,88,75
284,661,661
83,320,320
621,316,621
153,367,153
565,550,550
147,189,189
402,188,188
115,96,115
472,296,472
540,637,637
260,209,260
270,281,281
440,448,448
512,245,512
22,489,22
709,264,264
643,208,643
420,492,492
523,553,553
441,484,484
554,28,28
592,324,324
688,397,397
625,370,625
585,678,678
500,539,539
403,632,632
450,407,407
617,284,617
585,507,585
580,543,543
525,686,686
365,497,497
643,706,643
200,424,424
621,147,147
534,619,619
433,520,520
712,164,164
476,2,2
200,457,457
583,379,583
373,101,101
123,516,123
569,555,555
490,146,490
385,325,385
688,366,688
565,425,565
367,315,315
98,590,98
443,200,200
192,627,627
666,657,657
499,255,499
44,422,44
38,11,38
442,374,442
596,689,596
644,689,644
661,479,479
174,29,29
391,546,391
607,278,278
314,140,314
143,714,143
314,303,314
570,454,454
120,521,521
587,279,587
153,255,153
12,33,12
620,307,620
233,403,233
12,321,12
705,214,214
398,589,398
694,516,516
407,215,215
14,564,564
665,364,364
573,79,573
557,89,557
202,467,467
203,598,598
164,528,528
436,548,548
301,239,239
327,473,473
367,615,615
575,104,575
461,710,461
351,602,351
203,67,203
623,128,128
122,159,122
121,687,121
275,311,311
360,507,507
122,179,122
398,261,398
459,126,126
504,641,641
200,93,93
693,45,693
78,247,78
332,325,325
363,480,480
511,660,660
514,201,514
421,30,421
402,223,223
137,42,42
672,112,672
541,22,22
643,280,643
460,605,460
285,421,421
182,213,182
87,400,400
268,620,620
262,301,301
432,490,432
224,344,344
186,451,186
306,52,306
48,225,225
652,669,652
527,51,51
409,504,409
474,350,474
380,696,380
685,509,685
409,469,469
46,505,505
671,74,671
439,264,264
394,393,394
231,155,155
674,226,226
166,646,646
638,418,638
298,199,199
376,518,376
513,52,52
603,92,603
542,382,542
284,447,447
127,207,207
28,474,474
224,659,659
418,342,418
706,200,200
654,657,657
1,695,695
606,500,500
329,429,429
546,313,313
539,614,539
383,667,383
414,154,154
401,341,341
403,465,465
554,530,530
231,481,481
419,455,419
523,92,523
364,198,198
600,106,106
50,594,594
499,312,499
703,632,632
587,13,587
200,524,200
677,245,245
708,419,419
274,299,274
651,607,651
649,613,649
484,157,157
309,443,309
497,718,497
258,713,258
466,705,466
385,359,385
665,20,20
105,211,211
699,494,494
468,338,468
519,617,617
657,42,657
37,24,24
10,551,551
18,2,18
691,95,95
353,499,499
608,159,159
200,381,381
362,282,282
209,116,116
411,540,540
336,57,57
16,466,466
594,349,594
201,230,230
643,164,643
640,410,640
221,497,497
56,142,142
77,70,77
560,672,560
145,505,145
145,589,589
153,592,592
475,218,475
195,13,195
231,204,231
104,538,538
707,450,707
124,215,215
157,706,157
11,233,233
99,517,99
553,321,553
2,536,536
131,413,131
564,280,564
291,130,291
612,157,157
23,104,23
167,357,357
159,559,159
357,94,94
652,381,381
220,176,176
114,660,660
59,159,59
379,644,644
86,574,574
597,698,597
104,483,483
18,573,573
139,116,116
38,280,38
298,357,357
275,299,275
167,116,116
709,73,73
235,120,120
180,646,646
656,660,660
717,271,717
437,621,621
378,417,417
160,62,160
616,293,293
69,405,405
562,502,502
102,178,178
200,118,200
267,594,594
577,548,548
642,669,642
266,177,177
447,378,447
469,574,469
100,355,100
69,198,198
223,524,223
97,25,25
326,79,326
140,149,149
647,190,647
368,457,457
207,634,207
352,49,49
48,564,48
337,470,470
388,438,388
404,546,546
454,265,454
549,656,549
49,83,49
436,553,553
205,246,246
482,448,482
426,262,426
11,286,286
573,213,573
445,385,445
453,89,89
586,720,586
696,712,696
596,246,246
504,313,313
626,565,626
224,45,45
2,500,500
401,161,401
325,386,386
521,257,521
463,80,463
135,256,135
342,615,615
149,472,472
669,448,448
147,183,147
580,504,580
113,510,510
450,337,337
76,375,375
268,113,268
592,413,592
407,281,407
156,238,156
25,488,25
296,407,407
52,124,124
191,44,44
397,561,561
504,714,714
544,648,648
408,80,408
260,281,260
668,661,668
696,156,156
619,435,435
615,670,615
266,540,540
596,75,75
599,260,260
707,557,707
641,557,641
439,625,625
21,300,21
619,584,584
639,127,639
131,36,36
202,219,202
289,611,289
250,212,250
178,194,178
279,241,241
307,674,307
369,214,214
319,597,319
65,12,65
721,336,721
287,429,429
56,422,56
689,138,689
715,116,715
708,574,574
187,610,610
508,414,508
294,427,427
98,702,702
383,84,383
136,554,136
220,309,309
465,362,362
610,697,697
559,407,407
508,657,657
110,454,454
326,643,643
484,464,484
80,324,80
673,138,673
362,286,362
465,618,465
211,37,211
521,90,521
265,490,490
366,53,53
653,677,677
264,482,482
409,626,409
223,670,223
319,191,319
632,126,632
485,620,620
697,601,601
267,223,223
517,676,676
345,22,22
45,561,561
604,94,94
560,23,560
205,334,334
398,56,398
517,673,673
63,457,457
273,23,23
505,286,505
299,378,378
693,452,452
530,236,530
198,695,695
651,580,651
74,247,247
396,500,500
104,14,14
565,552,552
361,356,361
30,399,30
711,353,711
25,5,25
411,48,48
683,23,23
389,452,452
689,252,252
335,233,335
645,456,645
121,313,121
391,212,391
308,388,308
411,70,70
641,230,641
316,426,426
510,125,510
171,486,486
99,91,99
344,470,470
394,528,528
688,441,441
685,658,658
350,458,350
237,401,237
366,44,44
380,378,380
121,205,121
471,380,380
150,472,150
148,28,148
633,688,688
121,630,121
719,215,215
680,406,680
65,679,679
714,402,402
473,719,473
563,124,124
96,425,425
428,695,695
290,12,12
305,293,305
348,138,348
17,465,17
610,290,610
114,618,114
275,561,561
696,31,31
718,573,573
317,417,417
316,596,596
174,334,334
512,138,512
528,215,215
34,610,34
668,431,668
597,648,648
146,344,146
555,618,555
695,215,215
25,272,25
629,396,396
341,102,102
583,653,653
398,153,398
235,694,235
175,374,374
152,419,419
576,667,667
24,123,123
50,107,50
112,362,362
494,576,494
684,48,684
36,443,36
130,448,448
385,600,385
128,354,354
163,39,163
179,22,22
321,470,470
450,312,450
661,309,309
367,91,91
437,227,227
570,38,38
146,441,441
264,571,571
681,359,359
629,209,629
439,76,76
400,662,662
35,68,68
521,113,521
161,133,133
408,421,421
204,8,8
426,387,426
298,543,543
330,35,330
446,697,697
465,279,279
504,525,525
353,570,570
701,365,701
605,336,336
1,141,141
329,624,329
12,402,12
344,310,310
180,650,180
663,546,663
263,637,637
30,368,30
51,338,51
34,612,612
334,18,18
450,339,339
88,189,88
442,181,181
468,169,169
62,237,237
661,130,130
143,530,530
587,529,529
203,392,392
85,35,85
289,374,289
424,434,424
669,565,669
134,327,134
74,551,551
283,641,641
581,505,581
432,553,432
332,654,654
230,611,230
340,616,340
173,176,176
677,464,464
465,291,291
397,188,188
472,443,472
208,415,415
307,190,190
471,371,471
474,581,581
407,69,407
196,23,196
460,189,189
307,276,276
208,102,102
436,185,185
139,448,448
666,204,666
311,369,311
630,114,630
25,139,25
307,370,370
481,49,49
702,675,702
314,417,417
354,645,645
316,185,316
702,708,702
538,431,538
455,187,187
421,359,421
310,623,623
35,292,292
409,153,153
651,282,282
330,471,330
34,587,587
51,368,51
66,703,703
229,514,514
529,43,529
52,618,618
433,423,433
363,447,447
532,620,620
628,242,628
58,523,523
439,195,195
100,614,614
161,292,292
224,384,384
28,512,512
196,84,196
128,417,128
369,309,309
242,499,499
148,700,700
632,327,632
569,135,135
527,290,527
56,684,56
95,672,95
280,708,280
76,322,76
311,507,311
285,585,585
122,69,69
288,405,288
187,149,149
329,400,400
688,100,100
566,324,566
346,185,346
54,249,249
501,597,597
345,298,345
662,445,662
698,239,239
445,351,445
179,650,650
628,62,628
274,104,274
633,434,434
590,515,590
141,212,141
435,114,435
721,662,662
39,137,137
170,334,334
426,459,426
47,89,89
259,115,115
554,151,151
336,617,617
161,370,370
428,382,428
213,641,641
692,267,267
18,152,18
416,121,121
97,141,141
720,657,657
47,497,47
401,46,46
487,248,487
421,600,421
425,633,425
609,719,609
482,167,482
144,703,144
283,520,520
34,427,427
667,23,667
35,422,35
135,339,135
273,291,291
315,107,107
476,682,476
655,577,655
233,141,141
419,263,419
218,666,666
159,242,159
711,709,711
19,4,19
468,360,468
653,709,653
535,501,535
383,598,598
54,468,468
628,591,628
602,207,207
411,391,391
482,399,482
171,616,171
275,419,419
20,597,20
596,455,596
271,566,566
211,707,211
194,517,517
178,283,178
562,560,560
533,564,533
621,179,621
580,671,671
179,625,625
342,47,342
552,269,552
718,463,718
357,180,357
436,618,618
204,557,557
632,294,632
563,467,467
444,678,678
708,314,314
338,57,57
375,37,37
445,79,445
305,322,305
178,125,125
123,519,123
676,484,676
493,598,493
523,428,523
490,643,490
235,563,563
461,482,461
715,235,715
84,332,84
461,266,461
234,52,52
547,41,547
176,215,215
566,185,566
95,109,95
74,700,700
520,507,520
524,261,261
298,170,170
376,317,376
262,314,314
246,228,228
265,96,96
159,433,159
93,365,93
20,239,20
214,471,214
25,680,680
294,75,294
334,162,162
540,23,23
207,531,207
493,316,493
14,712,14
610,694,694
61,337,61
46,175,46
526,398,398
104,151,151
185,237,237
42,673,42
318,224,318
325,402,402
459,52,52
195,292,292
577,221,221
265,136,136
635,136,635
554,141,141
220,190,190
481,100,100
107,422,107
195,368,368
229,252,229
178,424,424
607,135,135
417,543,417
301,491,491
231,177,177
346,623,623
549,349,549
448,110,448
46,486,486
501,491,491
717,25,717
505,630,630
128,684,128
165,309,309
238,242,238
363,647,647
531,437,531
497,345,497
483,673,483
480,4,480
104,242,242
668,53,53
31,617,617
213,521,521
670,483,483
221,449,221
254,135,135
461,565,461
639,650,639
629,124,124
233,498,233
80,362,362
494,131,494
560,48,560
58,367,58
15,542,542
281,542,542
140,624,624
311,179,311
413,603,603
410,695,695
488,718,718
304,226,226
639,419,419
189,516,189
637,642,642
324,516,516
224,181,181
169,106,169
607,358,358
145,709,145
134,181,134
611,617,617
53,647,53
391,166,166
101,233,101
578,299,299
386,477,386
399,509,509
671,586,586
493,192,493
354,226,226
677,341,677
504,549,549
402,507,402
522,77,77
196,67,196
646,485,646
205,719,719
64,575,64
488,105,488
53,489,53
648,192,648
219,692,692
289,147,289
657,10,657
404,57,57
385,665,385
601,518,601
539,96,539
429,278,429
362,716,716
465,436,465
162,238,162
196,154,196
218,721,721
502,124,124
124,577,124
340,709,340
244,332,244
13,512,512
576,525,576
681,187,681
482,237,482
591,124,124
607,91,91
157,198,157
345,381,381
183,343,343
453,544,453
72,196,196
579,264,264
279,576,576
443,493,493
632,485,632
228,714,228
675,365,365
505,155,505
714,128,128
285,579,285
236,78,78
216,696,696
673,149,149
698,2,2
287,450,450
272,345,272
61,479,479
546,668,668
532,205,205
426,648,648
715,337,715
309,703,309
104,259,259
105,478,478
208,57,57
666,224,666
664,393,393
362,666,666
80,306,306
524,635,635
255,500,500
584,459,584
565,503,503
665,400,400
425,588,425
580,115,115
45,221,221
171,33,171
363,538,538
644,95,95
514,1,514
75,306,306
308,403,308
522,681,681
515,617,617
207,195,207
472,18,18
126,18,18
446,627,446
250,702,702
695,169,169
198,258,198
224,555,555
513,92,92
515,155,155
275,539,539
391,47,391
129,494,494
231,282,282
399,95,95
111,542,542
141,24,24
447,373,373
482,463,482
689,713,689
109,281,281
412,604,604
414,649,649
696,442,696
88,290,290
16,403,16
499,5,5
64,686,686
373,190,373
43,486,486
67,53,53
524,709,709
46,550,550
482,347,482
357,219,357
116,246,116
10,160,160
646,196,196
433,542,542
58,436,58
677,359,359
683,492,492
632,255,632
404,618,618
173,483,483
642,29,642
668,153,668
411,437,437
165,601,601
572,292,292
388,424,424
434,422,434
135,145,135
314,475,314
425,311,311
171,167,171
478,17,478
586,259,586
469,464,464
467,326,467
661,98,661
18,19,18
80,249,249
712,184,184
178,241,241
707,19,707
88,51,51
629,361,629
44,433,433
187,536,187
336,541,336
125,292,292
509,619,509
498,239,239
233,83,83
572,595,572
6,221,6
204,57,57
634,230,230
89,73,73
347,677,347
313,283,313
367,198,198
64,484,64
183,442,183
88,135,135
346,193,193
522,504,522
112,436,112
676,389,676
527,491,491
536,600,536
651,224,651
684,226,226
385,630,385
380,692,380
519,142,142
463,171,171
91,26,26
91,26,32
91,32,26
91,32,32
660,385,385
109,209,109
392,53,53
369,308,308
506,365,365
212,720,720
122,170,122
78,180,78
222,141,141
238,90,238
517,709,709
23,423,23
209,423,423
49,239,239
134,606,134
293,317,317
424,599,424
614,603,614
348,251,251
94,177,94
694,415,415
278,211,211
707,340,707
54,14,54
94,444,94
630,350,350
24,222,24
251,703,251
17,638,638
76,522,522
5,208,5
126,283,126
7,568,568
684,514,514
415,574,415
175,225,225
557,592,557
73,271,73
262,284,262
411,293,411
374,433,433
257,10,257
178,317,178
100,207,207
404,101,101
703,109,703
320,527,527
634,25,25
11,703,703
285,371,371
494,390,494
249,332,249
363,489,489
480,376,480
506,41,41
77,543,77
513,515,515
20,239,20
210,381,210
489,553,553
73,537,73
449,634,634
252,199,252
47,530,530
120,193,193
256,302,302
395,329,329
717,375,717
273,199,199
670,340,340
365,287,365
49,411,411
17,554,17
192,626,626
616,524,616
332,463,332
553,26,26
553,26,32
553,32,26
553,32,32
380,499,380
637,383,637
103,523,523
244,717,244
213,89,89
484,219,484
289,379,289
528,37,528
561,93,561
346,663,663
240,64,64
630,400,630
129,21,129
61,153,61
345,417,417
96,404,404
377,687,687
12,630,630
582,169,169
564,601,601
505,704,505
459,272,272
350,567,567
417,188,417
159,628,628
341,137,137
381,387,381
529,436,529
149,391,391
530,153,530
277,33,277
275,581,581
111,612,612
319,373,373
160,211,211
585,689,585
466,117,466
608,207,207
164,50,50
88,531,531
565,601,565
508,87,508
31,636,31
97,372,97
377,561,561
422,4,4
303,227,227
257,242,257
660,161,660
68,95,68
218,88,88
506,6,6
83,108,83
188,254,254
423,15,15
368,318,318
566,599,566
253,365,253
201,26,26
201,26,32
201,32,26
201,32,32
311,426,311
454,261,454
633,142,142
657,498,657
562,170,170
20,85,85
710,682,710
582,353,353
284,540,284
446,691,446
287,452,452
380,373,380
273,194,273
665,395,395
243,52,243
339,384,384
67,359,359
56,117,117
239,91,239
51,564,564
182,44,182
520,416,520
604,83,83
103,668,668
353,445,445
682,528,528
81,101,101
309,417,417
706,657,657
414,566,566
186,301,301
149,18,18
137,123,123
319,231,319
697,33,697
469,669,469
322,197,197
273,235,235
404,110,110
422,320,320
533,572,533
405,2,405
5,275,275
542,673,542
510,238,510
112,569,112
392,326,392
223,623,623
304,75,75
282,503,282
207,603,207
489,431,431
310,201,310
673,454,454
308,664,308
196,526,526
47,538,538
237,88,237
362,101,101
454,717,717
109,666,666
35,73,73
289,122,289
479,120,120
271,251,251
407,334,407
265,696,696
391,714,391
374,84,84
510,105,510
710,340,340
150,506,150
123,507,123
76,406,406
513,508,508
237,102,237
389,171,171
327,14,327
305,403,403
47,625,625
154,221,154
711,719,711
491,183,491
333,330,330
493,649,493
540,359,359
205,419,419
400,582,400
41,74,41
378,475,475
691,711,711
165,509,509
635,416,635
335,6,6
494,31,494
536,656,656
355,374,374
482,356,482
327,350,350
711,74,711
214,20,20
582,19,19
108,675,675
138,22,22
464,667,464
268,185,185
175,351,351
523,661,523
621,317,317
314,502,314
718,215,215
611,463,611
175,684,684
577,39,39
192,306,306
252,33,252
162,675,162
486,177,486
8,73,73
244,631,244
219,285,285
357,605,357
535,620,620
499,78,78
31,229,229
81,595,595
547,90,547
275,234,234
583,426,426
304,557,557
677,364,677
124,262,124
12,374,12
541,332,332
184,39,184
514,440,514
350,327,350
385,322,385
347,368,347
251,636,251
31,540,31
639,277,277
493,571,493
318,404,318
451,436,436
611,444,444
507,415,415
504,321,321
550,229,550
643,575,643
500,370,370
214,519,214
56,449,56
179,517,179
449,135,449
303,158,303
139,616,139
571,516,571
209,46,209
567,569,567
66,130,130
366,361,361
232,340,340
640,664,640
621,191,621
69,343,343
192,698,698
